Mfg,Model,Model_Year,MPG,KMPL,Weight,Cylinders,Horsepower,Acceleration,Displacement
toyota,toyota corona mark ii (sw)          ,72,23,9.775,2506,4,97,14.5,120
plymouth,plymouth duster                     ,73,23,9.775,2904,6,95,16,198
ford,ford pinto                          ,75,23,9.775,2639,4,83,17,140
pontiac,pontiac astro                       ,75,23,9.775,2592,4,78,18.5,140
audi,audi 100ls                          ,75,23,9.775,2694,4,95,15,115
peugeot,peugeot 504                         ,75,23,9.775,2957,4,88,17,120
cadillac,cadillac eldorado                   ,79,23,9.775,3900,8,125,17.4,350
amc,amc concord dl                      ,82,23,9.775,3035,4,NaN,20.5,151
amc,amc hornet                          ,76,22.5,9.5625,3085,6,90,17.6,232
buick,buick century                       ,81,22.4,9.52,3415,6,110,15.8,231
ford,ford fairmont 4                     ,79,22.3,9.4775,2890,4,88,17.3,140
plymouth,plymouth duster                     ,70,22,9.35,2833,6,95,15.5,198
chevrolet,chevrolet vega (sw)                 ,71,22,9.35,2408,4,72,19,140
volkswagen,volkswagen 411 (sw)                 ,72,22,9.35,2511,4,76,18,121
ford,ford pinto (sw)                     ,72,22,9.35,2395,4,86,16,122
datsun,datsun 610                          ,73,22,9.35,2379,4,94,16.5,108
volvo,volvo 244dl                         ,75,22,9.35,2945,4,98,14.5,121
plymouth,plymouth valiant                    ,76,22,9.35,3233,6,100,15.4,225
chevrolet,chevrolet nova                      ,76,22,9.35,3353,6,105,14.5,250
datsun,datsun 810                          ,77,22,9.35,2815,6,97,14.5,146
ford,ford granada l                      ,82,22,9.35,2835,6,112,14.7,232
saab,saab 99gle                          ,78,21.6,9.18,2795,4,115,15.7,121
bmw,bmw 320i                            ,77,21.5,9.1375,2600,4,110,12.8,121
mazda,mazda rx-4                          ,77,21.5,9.1375,2720,3,110,13.5,80
pontiac,pontiac lemans v6                   ,79,21.5,9.1375,3245,6,115,15.4,231
toyota,toyota celica gt liftback           ,78,21.1,8.9675,2515,4,95,14.8,134
ford,ford maverick                       ,70,21,8.925,2587,6,85,16,200
amc,amc gremlin                         ,70,21,8.925,2648,6,90,15,199
ford,ford pinto runabout                 ,72,21,8.925,2226,4,86,16.5,122
peugeot,peugeot 504 (sw)                    ,72,21,8.925,2979,4,87,19.5,120
chevrolet,chevrolet vega                      ,73,21,8.925,2401,4,72,19.5,140
mercury,mercury capri v6                    ,73,21,8.925,2472,6,107,14,155
ford,ford maverick                       ,74,21,8.925,2875,6,NaN,17,200
buick,buick skyhawk                       ,75,21,8.925,3039,6,110,15,231
mercury,mercury zephyr                      ,78,20.8,8.84,3070,6,85,16.7,200
buick,buick century special               ,78,20.6,8.755,3380,6,105,15.8,231
dodge,dodge aspen 6                       ,79,20.6,8.755,3360,6,110,16.6,225
buick,buick skylark                       ,77,20.5,8.7125,3425,6,105,16.9,231
chevrolet,chevrolet malibu                    ,78,20.5,8.7125,3155,6,95,18.2,200
plymouth,plymouth volare                     ,78,20.5,8.7125,3430,6,100,17.2,225
audi,audi 5000                           ,78,20.3,8.6275,2830,5,103,15.9,131
mercury,mercury monarch ghia                ,78,20.2,8.585,3570,8,139,12.8,302
ford,ford fairmont (auto)                ,78,20.2,8.585,2965,6,85,15.8,200
amc,amc concord dl 6                    ,79,20.2,8.585,3265,6,90,18.2,232
ford,ford granada gl                     ,81,20.2,8.585,3060,6,88,17.1,200
chevrolet,chevrolet vega                      ,72,20,8.5,2408,4,90,19.5,140
toyota,toyota carina                       ,73,20,8.5,2279,4,88,19,97
audi,audi 100ls                          ,73,20,8.5,2582,4,91,14,114
toyota,toyota mark ii                      ,73,20,8.5,2807,6,122,13.5,156
plymouth,plymouth duster                     ,74,20,8.5,3102,6,95,16.5,198
chevrolet,chevrolet monza 2+2                 ,75,20,8.5,3221,8,110,13.5,262
amc,amc gremlin                         ,75,20,8.5,2914,6,100,16,232
dodge,dodge aspen se                      ,76,20,8.5,3651,6,100,17.7,225
volvo,volvo 245                           ,76,20,8.5,3150,4,102,15.7,130
oldsmobile,oldsmobile cutlass salon brougham   ,78,19.9,8.4575,3365,8,110,15.5,260
mercury,mercury zephyr 6                    ,79,19.8,8.415,2990,6,85,18.2,200
dodge,dodge diplomat                      ,78,19.4,8.245,3735,8,140,13.2,318
amc,amc concord                         ,78,19.4,8.245,3210,6,90,17.2,232
pontiac,pontiac phoenix lj                  ,78,19.2,8.16,3535,6,105,19.2,231
chevrolet,chevrolet monte carlo landau        ,78,19.2,8.16,3425,8,145,13.2,305
chevrolet,chevrolet malibu classic (sw)       ,79,19.2,8.16,3605,8,125,15,267
dodge,dodge aspen                         ,80,19.1,8.1175,3381,6,90,18.7,225
amc,amc gremlin                         ,71,19,8.075,2634,6,100,13,232
ford,ford torino 500                     ,71,19,8.075,3302,6,88,15.5,250
pontiac,pontiac firebird                    ,71,19,8.075,3282,6,100,15,250
mazda,mazda rx2 coupe                     ,72,19,8.075,2330,3,97,13.5,70
ford,ford pinto                          ,73,19,8.075,2310,4,85,18.5,122
volvo,volvo 144ea                         ,73,19,8.075,2868,4,112,15.5,121
amc,amc hornet                          ,74,19,8.075,2901,6,100,16,232
plymouth,plymouth valiant custom             ,75,19,8.075,3264,6,95,16,225
amc,amc pacer                           ,75,19,8.075,3211,6,90,17,232
peugeot,peugeot 504                         ,76,19,8.075,3270,4,88,21.9,120
toyota,toyota mark ii                      ,76,19,8.075,2930,6,108,15.5,156
plymouth,plymouth volare custom              ,77,19,8.075,3630,6,100,17.7,225
dodge,dodge aspen                         ,78,18.6,7.905,3620,6,110,18.7,225
pontiac,pontiac ventura sj                  ,76,18.5,7.8625,3645,6,110,16.2,250
ford,ford granada                        ,77,18.5,7.8625,3525,6,98,19,250
chrysler,chrysler lebaron town @ country (sw),79,18.5,7.8625,3940,8,150,13,360
dodge,dodge st. regis                     ,79,18.2,7.735,3830,8,135,15.2,318
amc,amc concord d/l                     ,78,18.1,7.6925,3410,6,120,15.1,258
ford,ford futura                         ,78,18.1,7.6925,3205,8,139,11.2,302
chevrolet,chevrolet chevelle malibu           ,70,18,7.65,3504,8,130,12,307
plymouth,plymouth satellite                  ,70,18,7.65,3436,8,150,11,318
amc,amc hornet                          ,70,18,7.65,2774,6,97,15.5,199
amc,amc matador                         ,71,18,7.65,3288,6,100,15.5,232
amc,amc hornet sportabout (sw)          ,71,18,7.65,2962,6,110,13.5,258
ford,ford mustang                        ,71,18,7.65,3139,6,88,14.5,250
volvo,volvo 145e (sw)                     ,72,18,7.65,2933,4,112,14.5,121
plymouth,plymouth valiant                    ,73,18,7.65,3121,6,105,16.5,225
amc,amc hornet                          ,73,18,7.65,2945,6,100,16,232
ford,ford maverick                       ,73,18,7.65,3021,6,88,16.5,250
amc,amc gremlin                         ,73,18,7.65,2789,6,100,15,232
mazda,mazda rx3                           ,73,18,7.65,2124,3,90,13.5,70
plymouth,plymouth satellite sebring          ,74,18,7.65,3613,6,105,16.5,225
chevrolet,chevrolet nova                      ,75,18,7.65,3459,6,105,16,250
plymouth,plymouth fury                       ,75,18,7.65,3785,6,95,19,225
ford,ford pinto                          ,75,18,7.65,2984,6,97,14.5,171
ford,ford granada ghia                   ,76,18,7.65,3574,6,78,21,250
buick,buick regal sport coupe (turbo)     ,78,17.7,7.5225,3445,6,165,13.4,231
ford,ford ltd landau                     ,79,17.6,7.48,3725,8,129,13.4,302
chrysler,chrysler lebaron salon              ,81,17.6,7.48,3465,6,85,16.6,225
chevrolet,chevrolet chevelle malibu classic   ,76,17.5,7.4375,4215,8,140,13,305
amc,amc pacer d/l                       ,76,17.5,7.4375,3193,6,95,17.8,258
chevrolet,chevrolet caprice classic           ,77,17.5,7.4375,3880,8,145,12.5,305
chevrolet,chevrolet concours                  ,77,17.5,7.4375,3520,6,110,16.4,250
dodge,dodge magnum xe                     ,78,17.5,7.4375,4080,8,140,13.7,318
ford,ford torino                         ,70,17,7.225,3449,8,140,10.5,302
chevrolet,chevrolet chevelle malibu           ,71,17,7.225,3329,6,100,15.5,250
amc,amc ambassador sst                  ,72,17,7.225,3672,8,150,11.5,304
buick,buick century                       ,75,17,7.225,3907,6,110,21,231
oldsmobile,oldsmobile cutlass supreme          ,77,17,7.225,4060,8,110,19,260
volvo,volvo 264gl                         ,78,17,7.225,3140,6,125,13.6,163
chevrolet,chevrolet caprice classic           ,79,17,7.225,3840,8,130,15.4,305
buick,buick estate wagon (sw)             ,79,16.9,7.1825,4360,8,155,14.9,350
mercedes-benz,mercedes-benz 280s                  ,76,16.5,7.0125,3820,6,120,16.7,168
cadillac,cadillac seville                    ,76,16.5,7.0125,4380,8,180,12.1,350
mercury,mercury grand marquis               ,79,16.5,7.0125,3955,8,138,13.2,351
peugeot,peugeot 604sl                       ,78,16.2,6.885,3410,6,133,15.8,163
amc,amc rebel sst                       ,70,16,6.8,3433,8,150,12,304
plymouth,plymouth satellite custom           ,71,16,6.8,3439,6,105,15.5,225
chevrolet,chevrolet nova custom               ,73,16,6.8,3278,6,100,18,250
pontiac,pontiac grand prix                  ,73,16,6.8,4278,8,230,9.5,400
chevrolet,chevrolet chevelle malibu classic   ,74,16,6.8,3781,6,100,17,250
amc,amc matador                         ,74,16,6.8,3632,6,110,18,258
ford,ford gran torino                    ,74,16,6.8,4141,8,140,14,302
pontiac,pontiac catalina                    ,75,16,6.8,4668,8,170,11.5,400
plymouth,plymouth grand fury                 ,75,16,6.8,4498,8,150,14.5,318
chevrolet,chevrolet chevelle malibu           ,75,16,6.8,3897,6,105,18.5,250
dodge,dodge coronet brougham              ,76,16,6.8,4190,8,150,13,318
pontiac,pontiac grand prix lj               ,77,16,6.8,4220,8,180,11.1,400
ford,ford thunderbird                    ,77,16,6.8,4335,8,149,14.5,351
amc,amc matador                         ,76,15.5,6.5875,3962,8,120,13.9,304
dodge,dodge monaco brougham               ,77,15.5,6.5875,4140,8,145,13.7,318
chevrolet,chevrolet monte carlo landau        ,77,15.5,6.5875,4165,8,170,11.4,350
chrysler,chrysler cordoba                    ,77,15.5,6.5875,4325,8,190,12.2,400
ford,ford country squire (sw)            ,79,15.5,6.5875,4054,8,142,14.3,351
buick,buick skylark 320                   ,70,15,6.375,3693,8,165,11.5,350
ford,ford galaxie 500                    ,70,15,6.375,4341,8,198,10,429
amc,amc ambassador dpl                  ,70,15,6.375,3850,8,190,8.5,390
dodge,dodge challenger se                 ,70,15,6.375,3563,8,170,10,383
chevrolet,chevrolet monte carlo               ,70,15,6.375,3761,8,150,9.5,400
plymouth,plymouth fury iii                   ,72,15,6.375,4135,8,150,13.5,318
amc,amc matador (sw)                    ,72,15,6.375,3892,8,150,12.5,304
dodge,dodge coronet custom                ,73,15,6.375,3777,8,150,12.5,318
chevrolet,chevrolet monte carlo s             ,73,15,6.375,4082,8,145,13,350
dodge,dodge dart custom                   ,73,15,6.375,3399,8,150,11,318
chevrolet,chevrolet nova                      ,74,15,6.375,3336,6,100,17,250
mercury,mercury monarch                     ,75,15,6.375,3432,6,72,21,250
ford,ford maverick                       ,75,15,6.375,3158,6,72,19.5,250
chevrolet,chevrolet bel air                   ,75,15,6.375,4440,8,145,14,350
amc,amc matador                         ,75,15,6.375,3730,6,110,19,258
mercury,mercury cougar brougham             ,77,15,6.375,4295,8,130,14.9,302
ford,ford gran torino                    ,76,14.5,6.1625,4215,8,152,12.8,351
chevrolet,chevrolet impala                    ,70,14,5.95,4354,8,220,9,454
plymouth,plymouth fury iii                   ,70,14,5.95,4312,8,215,8.5,440
pontiac,pontiac catalina                    ,70,14,5.95,4425,8,225,10,455
plymouth,plymouth 'cuda 340                  ,70,14,5.95,3609,8,160,8,340
buick,buick estate wagon (sw)             ,70,14,5.95,3086,8,225,10,455
chevrolet,chevrolet impala                    ,71,14,5.95,4209,8,165,12,350
pontiac,pontiac catalina brougham           ,71,14,5.95,4464,8,175,11.5,400
ford,ford galaxie 500                    ,71,14,5.95,4154,8,153,13.5,351
plymouth,plymouth fury iii                   ,71,14,5.95,4096,8,150,13,318
pontiac,pontiac catalina                    ,72,14,5.95,4385,8,175,12,400
ford,ford galaxie 500                    ,72,14,5.95,4129,8,153,13,351
plymouth,plymouth satellite custom (sw)      ,72,14,5.95,4077,8,150,14,318
amc,amc matador                         ,73,14,5.95,3672,8,150,11.5,304
ford,ford gran torino                    ,73,14,5.95,4042,8,137,14.5,302
plymouth,plymouth fury gran sedan            ,73,14,5.95,4237,8,150,14.5,318
dodge,dodge coronet custom (sw)           ,74,14,5.95,4457,8,150,13.5,318
ford,ford gran torino (sw)               ,74,14,5.95,4638,8,140,16,302
amc,amc matador (sw)                    ,74,14,5.95,4257,8,150,15.5,304
ford,ford ltd                            ,75,14,5.95,4657,8,148,13.5,351
ford,ford country squire (sw)            ,71,13,5.525,4746,8,170,12,400
pontiac,pontiac safari (sw)                 ,71,13,5.525,5140,8,175,12,400
chevrolet,chevrolet impala                    ,72,13,5.525,4274,8,165,12,350
buick,buick lesabre custom                ,72,13,5.525,4502,8,155,13.5,350
chrysler,chrysler newport royal              ,72,13,5.525,4422,8,190,12.5,400
chevrolet,chevrolet chevelle concours (sw)    ,72,13,5.525,4098,8,130,14,307
ford,ford gran torino (sw)               ,72,13,5.525,4294,8,140,16,302
buick,buick century 350                   ,73,13,5.525,4100,8,175,13,350
chevrolet,chevrolet malibu                    ,73,13,5.525,3988,8,145,13,350
chevrolet,chevrolet caprice classic           ,73,13,5.525,4464,8,150,12,400
ford,ford ltd                            ,73,13,5.525,4363,8,158,13,351
chrysler,chrysler new yorker brougham        ,73,13,5.525,4735,8,215,11,440
amc,amc ambassador brougham             ,73,13,5.525,3821,8,175,11,360
plymouth,plymouth custom suburb              ,73,13,5.525,4654,8,170,13,360
buick,buick century luxus (sw)            ,74,13,5.525,4699,8,150,14.5,350
ford,ford mustang ii                     ,75,13,5.525,3169,8,129,12,302
plymouth,plymouth volare premier v8          ,76,13,5.525,3940,8,150,13.2,318
chevrolet,chevrolet c10                       ,76,13,5.525,4055,8,145,12,350
ford,ford f108                           ,76,13,5.525,3870,8,130,15,302
dodge,dodge d100                          ,76,13,5.525,3755,8,150,14,318
dodge,dodge monaco (sw)                   ,71,12,5.1,4955,8,180,11.5,383
oldsmobile,oldsmobile delta 88 royale          ,72,12,5.1,4456,8,160,13.5,350
mercury,mercury marquis brougham            ,73,12,5.1,4952,8,198,11.5,429
buick,buick electra 225 custom            ,73,12,5.1,4951,8,225,11,455
ford,ford country                        ,73,12,5.1,4906,8,167,12.5,400
oldsmobile,oldsmobile vista cruiser            ,73,12,5.1,4499,8,180,12.5,350
dodge,dodge d200                          ,70,11,4.675,4382,8,210,13.5,318
mercury,mercury marquis                     ,72,11,4.675,4633,8,208,11,429
chevrolet,chevrolet impala                    ,73,11,4.675,4997,8,150,14,400
oldsmobile,oldsmobile omega                    ,73,11,4.675,3664,8,180,11,350
ford,ford f250                           ,70,10,4.25,4615,8,215,14,360
chevrolet,chevrolet c20                       ,70,10,4.25,4376,8,200,15,307
ih,ih 1200d                            ,70,9,3.825,4732,8,193,18.5,304
